M,n,W,U,D,L,Lock-Free Rate,Home-Queue Rate,Speedup
2000,1,25,t,32,p,1668.035,1513.486,1.10211 
2000,1,25,t,32,a,1668.035,1555.401,1.07241 
2000,1,50,t,32,p,1662.049,1510.278,1.10049 
2000,1,50,t,32,a,1662.049,1587.947,1.04667 
2000,1,100,t,32,p,1409.686,1374.528,1.02558 
2000,1,100,t,32,a,1409.686,1357.765,1.03824 
2000,1,200,t,32,p,1085.972,1072.253,1.01279 
2000,1,200,t,32,a,1085.972,1025.612,1.05885 
2000,1,400,t,32,p,738.364,715.723,1.03163 
2000,1,400,t,32,a,738.364,688.545,1.07235 
2000,1,800,t,32,p,431.5745,424.557,1.01653 
2000,1,800,t,32,a,431.5745,411.1075,1.04979 
