M,n,W,U,D,L,S,Speedup
2000,1,1000,t,32,nan,L,0.89233 
2000,1,1000,t,32,p,H,0.88091 
2000,1,1000,t,32,a,H,0.85810 
2000,1,1000,t,32,p,A,0.85606 
2000,1,1000,t,32,a,A,0.85234 
2000,2,1000,t,32,nan,L,1.75431 
2000,2,1000,t,32,p,H,1.71466 
2000,2,1000,t,32,a,H,1.69628 
2000,2,1000,t,32,p,A,1.68157 
2000,2,1000,t,32,a,A,1.65072 
2000,3,1000,t,32,nan,L,2.56382 
2000,3,1000,t,32,p,H,2.45459 
2000,3,1000,t,32,a,H,2.46932 
2000,3,1000,t,32,p,A,2.43025 
2000,3,1000,t,32,a,A,2.36424 
2000,7,1000,t,32,nan,L,4.53270 
2000,7,1000,t,32,p,H,4.47316 
2000,7,1000,t,32,a,H,4.47893 
2000,7,1000,t,32,p,A,4.36879 
2000,7,1000,t,32,a,A,4.23849 
2000,13,1000,t,32,nan,L,4.31721 
2000,13,1000,t,32,p,H,4.10457 
2000,13,1000,t,32,a,H,4.13062 
2000,13,1000,t,32,p,A,3.70686 
2000,13,1000,t,32,a,A,4.05058 
2000,27,1000,t,32,nan,L,2.48181 
2000,27,1000,t,32,p,H,2.65863 
2000,27,1000,t,32,a,H,2.79305 
2000,27,1000,t,32,p,A,0.15352 
2000,27,1000,t,32,a,A,0.12932 
2000,1,2000,t,32,nan,L,0.94515 
2000,1,2000,t,32,p,H,0.93638 
2000,1,2000,t,32,a,H,0.92398 
2000,1,2000,t,32,p,A,0.92153 
2000,1,2000,t,32,a,A,0.91988 
2000,2,2000,t,32,nan,L,1.87120 
2000,2,2000,t,32,p,H,1.84967 
2000,2,2000,t,32,a,H,1.84442 
2000,2,2000,t,32,p,A,1.84169 
2000,2,2000,t,32,a,A,1.82448 
2000,3,2000,t,32,nan,L,2.77768 
2000,3,2000,t,32,p,H,2.73226 
2000,3,2000,t,32,a,H,2.73254 
2000,3,2000,t,32,p,A,2.72940 
2000,3,2000,t,32,a,A,2.68497 
2000,7,2000,t,32,nan,L,6.21331 
2000,7,2000,t,32,p,H,6.10725 
2000,7,2000,t,32,a,H,6.09306 
2000,7,2000,t,32,p,A,6.16796 
2000,7,2000,t,32,a,A,6.04017 
2000,13,2000,t,32,nan,L,8.81198 
2000,13,2000,t,32,p,H,7.97164 
2000,13,2000,t,32,a,H,8.43663 
2000,13,2000,t,32,p,A,8.22067 
2000,13,2000,t,32,a,A,8.23669 
2000,27,2000,t,32,nan,L,4.74451 
2000,27,2000,t,32,p,H,5.01505 
2000,27,2000,t,32,a,H,4.83553 
2000,27,2000,t,32,p,A,0.34962 
2000,27,2000,t,32,a,A,0.29609 
2000,1,4000,t,32,nan,L,0.97170 
2000,1,4000,t,32,p,H,0.96785 
2000,1,4000,t,32,a,H,0.96039 
2000,1,4000,t,32,p,A,0.95891 
2000,1,4000,t,32,a,A,0.95878 
2000,2,4000,t,32,nan,L,1.93040 
2000,2,4000,t,32,p,H,1.92148 
2000,2,4000,t,32,a,H,1.91741 
2000,2,4000,t,32,p,A,1.92143 
2000,2,4000,t,32,a,A,1.91337 
2000,3,4000,t,32,nan,L,2.87669 
2000,3,4000,t,32,p,H,2.86035 
2000,3,4000,t,32,a,H,2.85749 
2000,3,4000,t,32,p,A,2.86849 
2000,3,4000,t,32,a,A,2.84505 
2000,7,4000,t,32,nan,L,6.66693 
2000,7,4000,t,32,p,H,6.59538 
2000,7,4000,t,32,a,H,6.61360 
2000,7,4000,t,32,p,A,6.67001 
2000,7,4000,t,32,a,A,6.63420 
2000,13,4000,t,32,nan,L,12.06142 
2000,13,4000,t,32,p,H,11.88207 
2000,13,4000,t,32,a,H,11.96664 
2000,13,4000,t,32,p,A,12.54053 
2000,13,4000,t,32,a,A,12.41492 
2000,27,4000,t,32,nan,L,9.83348 
2000,27,4000,t,32,p,H,10.05294 
2000,27,4000,t,32,a,H,9.44608 
2000,27,4000,t,32,p,A,1.23935 
2000,27,4000,t,32,a,A,0.54096 
2000,1,8000,t,32,nan,L,0.98601 
2000,1,8000,t,32,p,H,0.98413 
2000,1,8000,t,32,a,H,0.97951 
2000,1,8000,t,32,p,A,0.97907 
2000,1,8000,t,32,a,A,0.97848 
2000,2,8000,t,32,nan,L,1.95762 
2000,2,8000,t,32,p,H,1.95338 
2000,2,8000,t,32,a,H,1.95095 
2000,2,8000,t,32,p,A,1.95769 
2000,2,8000,t,32,a,A,1.95430 
2000,3,8000,t,32,nan,L,2.92583 
2000,3,8000,t,32,p,H,2.91771 
2000,3,8000,t,32,a,H,2.91387 
2000,3,8000,t,32,p,A,2.93120 
2000,3,8000,t,32,a,A,2.91972 
2000,7,8000,t,32,nan,L,6.79893 
2000,7,8000,t,32,p,H,6.78464 
2000,7,8000,t,32,a,H,6.77104 
2000,7,8000,t,32,p,A,6.85272 
2000,7,8000,t,32,a,A,6.83847 
2000,13,8000,t,32,nan,L,12.50104 
2000,13,8000,t,32,p,H,12.51071 
2000,13,8000,t,32,a,H,12.47144 
2000,13,8000,t,32,p,A,13.07142 
2000,13,8000,t,32,a,A,12.91846 
2000,27,8000,t,32,nan,L,9.75546 
2000,27,8000,t,32,p,H,9.05227 
2000,27,8000,t,32,a,H,10.04584 
2000,27,8000,t,32,p,A,2.23438 
2000,27,8000,t,32,a,A,1.32352 
2000,1,1000,f,32,nan,L,0.89704 
2000,1,1000,f,32,p,H,0.88380 
2000,1,1000,f,32,a,H,0.86439 
2000,1,1000,f,32,p,A,0.86026 
2000,1,1000,f,32,a,A,0.85946 
2000,2,1000,f,32,nan,L,1.43787 
2000,2,1000,f,32,p,H,1.41364 
2000,2,1000,f,32,a,H,1.39910 
2000,2,1000,f,32,p,A,1.68905 
2000,2,1000,f,32,a,A,1.67145 
2000,3,1000,f,32,nan,L,1.87278 
2000,3,1000,f,32,p,H,1.84530 
2000,3,1000,f,32,a,H,1.83506 
2000,3,1000,f,32,p,A,2.45374 
2000,3,1000,f,32,a,A,2.37409 
2000,7,1000,f,32,nan,L,3.43824 
2000,7,1000,f,32,p,H,3.38447 
2000,7,1000,f,32,a,H,3.37751 
2000,7,1000,f,32,p,A,4.22433 
2000,7,1000,f,32,a,A,4.03455 
2000,13,1000,f,32,nan,L,4.24745 
2000,13,1000,f,32,p,H,4.24167 
2000,13,1000,f,32,a,H,4.14115 
2000,13,1000,f,32,p,A,3.73984 
2000,13,1000,f,32,a,A,3.93308 
2000,27,1000,f,32,nan,L,2.13899 
2000,27,1000,f,32,p,H,1.84945 
2000,27,1000,f,32,a,H,1.94515 
2000,27,1000,f,32,p,A,0.13822 
2000,27,1000,f,32,a,A,0.14069 
2000,1,2000,f,32,nan,L,0.94732 
2000,1,2000,f,32,p,H,0.94046 
2000,1,2000,f,32,a,H,0.92748 
2000,1,2000,f,32,p,A,0.92482 
2000,1,2000,f,32,a,A,0.92351 
