M,n,W,U,D,L,S,Speedup
2000,1,1000,t,8,nan,L,0.86000
2000,1,1000,t,8,p,H,0.90873
2000,1,1000,t,8,a,H,0.88439
2000,1,1000,t,8,p,A,0.88756
2000,1,1000,t,8,a,A,0.84964
2000,2,1000,t,8,nan,L,1.58033
2000,2,1000,t,8,p,H,1.48390
2000,2,1000,t,8,a,H,1.67327
2000,2,1000,t,8,p,A,1.58108
2000,2,1000,t,8,a,A,1.59565
2000,3,1000,t,8,nan,L,2.00714
2000,3,1000,t,8,p,H,2.06210
2000,3,1000,t,8,a,H,2.20085
2000,3,1000,t,8,p,A,2.33149
2000,3,1000,t,8,a,A,2.18526
2000,7,1000,t,8,nan,L,0.45417
2000,7,1000,t,8,p,H,0.75516
2000,7,1000,t,8,a,H,0.61333
2000,7,1000,t,8,p,A,2.22441
2000,7,1000,t,8,a,A,1.32032
2000,13,1000,t,8,nan,L,0.22683
2000,13,1000,t,8,p,H,0.21934
2000,13,1000,t,8,a,H,0.18897
2000,13,1000,t,8,p,A,0.14553
2000,13,1000,t,8,a,A,0.13401
2000,27,1000,t,8,nan,L,0.17670
2000,27,1000,t,8,p,H,0.24455
2000,27,1000,t,8,a,H,0.18787
2000,27,1000,t,8,p,A,0.01850
2000,27,1000,t,8,a,A,0.01863
2000,1,2000,t,8,nan,L,0.95446
2000,1,2000,t,8,p,H,0.93414
2000,1,2000,t,8,a,H,0.90139
2000,1,2000,t,8,p,A,0.92959
2000,1,2000,t,8,a,A,0.92810
2000,2,2000,t,8,nan,L,1.81986
2000,2,2000,t,8,p,H,1.65913
2000,2,2000,t,8,a,H,1.67921
2000,2,2000,t,8,p,A,1.79565
2000,2,2000,t,8,a,A,1.70369
2000,3,2000,t,8,nan,L,2.22751
2000,3,2000,t,8,p,H,2.21832
2000,3,2000,t,8,a,H,2.30521
2000,3,2000,t,8,p,A,2.60361
2000,3,2000,t,8,a,A,2.46649
2000,7,2000,t,8,nan,L,0.94827
2000,7,2000,t,8,p,H,1.16543
2000,7,2000,t,8,a,H,0.88250
2000,7,2000,t,8,p,A,2.34265
2000,7,2000,t,8,a,A,3.09901
2000,13,2000,t,8,nan,L,0.29289
2000,13,2000,t,8,p,H,0.34362
2000,13,2000,t,8,a,H,0.44767
2000,13,2000,t,8,p,A,0.64236
2000,13,2000,t,8,a,A,0.26456
2000,27,2000,t,8,nan,L,0.39865
2000,27,2000,t,8,p,H,0.36698
2000,27,2000,t,8,a,H,0.34722
2000,27,2000,t,8,p,A,0.03642
2000,27,2000,t,8,a,A,0.03190
2000,1,4000,t,8,nan,L,0.94741
2000,1,4000,t,8,p,H,0.95560
2000,1,4000,t,8,a,H,0.95391
2000,1,4000,t,8,p,A,0.94853
2000,1,4000,t,8,a,A,0.95434
2000,2,4000,t,8,nan,L,1.78903
2000,2,4000,t,8,p,H,1.75787
2000,2,4000,t,8,a,H,1.83458
2000,2,4000,t,8,p,A,1.84679
2000,2,4000,t,8,a,A,1.81206
2000,3,4000,t,8,nan,L,2.51340
2000,3,4000,t,8,p,H,2.30466
2000,3,4000,t,8,a,H,2.34896
2000,3,4000,t,8,p,A,2.72873
2000,3,4000,t,8,a,A,2.64127
2000,7,4000,t,8,nan,L,1.06929
2000,7,4000,t,8,p,H,0.82071
2000,7,4000,t,8,a,H,0.80901
2000,7,4000,t,8,p,A,3.75017
2000,7,4000,t,8,a,A,3.18222
2000,13,4000,t,8,nan,L,0.49460
2000,13,4000,t,8,p,H,0.48504
2000,13,4000,t,8,a,H,0.70718
2000,13,4000,t,8,p,A,0.28775
2000,13,4000,t,8,a,A,0.18694
2000,27,4000,t,8,nan,L,0.52406
2000,27,4000,t,8,p,H,0.49374
2000,27,4000,t,8,a,H,0.72061
2000,27,4000,t,8,p,A,0.07088
2000,27,4000,t,8,a,A,0.06357
2000,1,8000,t,8,nan,L,0.97242
2000,1,8000,t,8,p,H,0.98082
2000,1,8000,t,8,a,H,0.97679
2000,1,8000,t,8,p,A,0.96288
2000,1,8000,t,8,a,A,0.96308
2000,2,8000,t,8,nan,L,1.82539
2000,2,8000,t,8,p,H,1.85724
2000,2,8000,t,8,a,H,1.77553
2000,2,8000,t,8,p,A,1.89362
2000,2,8000,t,8,a,A,1.87411
2000,3,8000,t,8,nan,L,2.52504
2000,3,8000,t,8,p,H,2.61284
2000,3,8000,t,8,a,H,2.47543
2000,3,8000,t,8,p,A,2.67319
2000,3,8000,t,8,a,A,2.65887
2000,7,8000,t,8,nan,L,1.28719
2000,7,8000,t,8,p,H,1.39393
2000,7,8000,t,8,a,H,1.13121
2000,7,8000,t,8,p,A,2.74568
2000,7,8000,t,8,a,A,3.88565
2000,13,8000,t,8,nan,L,0.95778
2000,13,8000,t,8,p,H,0.68969
2000,13,8000,t,8,a,H,0.92822
2000,13,8000,t,8,p,A,0.34695
2000,13,8000,t,8,a,A,0.30596
2000,27,8000,t,8,nan,L,1.26813
2000,27,8000,t,8,p,H,0.98972
2000,27,8000,t,8,a,H,0.92641
2000,27,8000,t,8,p,A,0.14175
2000,27,8000,t,8,a,A,0.12970
2000,1,1000,f,8,nan,L,0.89874
2000,1,1000,f,8,p,H,0.88575
2000,1,1000,f,8,a,H,0.88058
2000,1,1000,f,8,p,A,0.88844
2000,1,1000,f,8,a,A,0.86898
2000,2,1000,f,8,nan,L,1.25686
2000,2,1000,f,8,p,H,1.27264
2000,2,1000,f,8,a,H,1.26388
2000,2,1000,f,8,p,A,1.61418
2000,2,1000,f,8,a,A,1.62008
2000,3,1000,f,8,nan,L,1.68129
2000,3,1000,f,8,p,H,1.51113
2000,3,1000,f,8,a,H,1.55638
2000,3,1000,f,8,p,A,2.31387
2000,3,1000,f,8,a,A,2.20926
2000,7,1000,f,8,nan,L,0.58320
2000,7,1000,f,8,p,H,0.56306
2000,7,1000,f,8,a,H,0.54016
2000,7,1000,f,8,p,A,2.07255
2000,7,1000,f,8,a,A,1.74474
2000,13,1000,f,8,nan,L,0.22378
2000,13,1000,f,8,p,H,0.27576
2000,13,1000,f,8,a,H,0.16251
2000,13,1000,f,8,p,A,0.13563
2000,13,1000,f,8,a,A,0.12388
2000,27,1000,f,8,nan,L,0.17946
2000,27,1000,f,8,p,H,0.18661
2000,27,1000,f,8,a,H,0.15625
2000,27,1000,f,8,p,A,0.01937
2000,27,1000,f,8,a,A,0.01667
2000,1,2000,f,8,nan,L,0.94375
2000,1,2000,f,8,p,H,0.94499
2000,1,2000,f,8,a,H,0.93492
2000,1,2000,f,8,p,A,0.92046
2000,1,2000,f,8,a,A,0.92279
2000,2,2000,f,8,nan,L,1.37939
2000,2,2000,f,8,p,H,1.35512
2000,2,2000,f,8,a,H,1.36576
2000,2,2000,f,8,p,A,1.78512
2000,2,2000,f,8,a,A,1.76962
2000,3,2000,f,8,nan,L,1.76224
2000,3,2000,f,8,p,H,1.63306
2000,3,2000,f,8,a,H,1.59925
2000,3,2000,f,8,p,A,2.61774
2000,3,2000,f,8,a,A,2.49334
2000,7,2000,f,8,nan,L,0.77784
2000,7,2000,f,8,p,H,0.51814
2000,7,2000,f,8,a,H,0.61694
2000,7,2000,f,8,p,A,2.43205
2000,7,2000,f,8,a,A,2.57652
2000,13,2000,f,8,nan,L,0.27500
2000,13,2000,f,8,p,H,0.27566
2000,13,2000,f,8,a,H,0.27470
2000,13,2000,f,8,p,A,0.18372
2000,13,2000,f,8,a,A,0.12132
2000,27,2000,f,8,nan,L,0.33069
2000,27,2000,f,8,p,H,0.28423
2000,27,2000,f,8,a,H,0.34020
2000,27,2000,f,8,p,A,0.03551
2000,27,2000,f,8,a,A,0.05090
2000,1,4000,f,8,nan,L,0.96657
2000,1,4000,f,8,p,H,0.96594
2000,1,4000,f,8,a,H,0.96680
2000,1,4000,f,8,p,A,0.96043
2000,1,4000,f,8,a,A,0.96076
2000,2,4000,f,8,nan,L,1.52326
2000,2,4000,f,8,p,H,1.50226
2000,2,4000,f,8,a,H,1.50271
2000,2,4000,f,8,p,A,1.90574
2000,2,4000,f,8,a,A,1.92180
2000,3,4000,f,8,nan,L,1.97219
2000,3,4000,f,8,p,H,1.96144
2000,3,4000,f,8,a,H,1.96944
2000,3,4000,f,8,p,A,2.90309
2000,3,4000,f,8,a,A,2.86237
2000,7,4000,f,8,nan,L,1.64829
2000,7,4000,f,8,p,H,1.63100
2000,7,4000,f,8,a,H,1.95856
2000,7,4000,f,8,p,A,5.09869
2000,7,4000,f,8,a,A,5.14447
2000,13,4000,f,8,nan,L,0.43267
2000,13,4000,f,8,p,H,0.55945
2000,13,4000,f,8,a,H,0.61227
2000,13,4000,f,8,p,A,1.10606
2000,13,4000,f,8,a,A,0.62515
2000,27,4000,f,8,nan,L,0.67322
2000,27,4000,f,8,p,H,1.00897
2000,27,4000,f,8,a,H,1.50453
2000,27,4000,f,8,p,A,0.18878
2000,27,4000,f,8,a,A,0.08912
2000,1,8000,f,8,nan,L,0.98957
2000,1,8000,f,8,p,H,0.98927
2000,1,8000,f,8,a,H,0.98384
2000,1,8000,f,8,p,A,0.98379
2000,1,8000,f,8,a,A,0.98378
2000,2,8000,f,8,nan,L,1.57536
2000,2,8000,f,8,p,H,1.56596
2000,2,8000,f,8,a,H,1.57077
2000,2,8000,f,8,p,A,1.97053
2000,2,8000,f,8,a,A,1.96946
2000,3,8000,f,8,nan,L,2.03382
2000,3,8000,f,8,p,H,2.03047
2000,3,8000,f,8,a,H,2.02685
2000,3,8000,f,8,p,A,2.95939
2000,3,8000,f,8,a,A,2.95272
2000,7,8000,f,8,nan,L,3.77272
2000,7,8000,f,8,p,H,3.80352
2000,7,8000,f,8,a,H,3.78575
2000,7,8000,f,8,p,A,7.01786
2000,7,8000,f,8,a,A,7.02894
2000,13,8000,f,8,nan,L,5.02442
2000,13,8000,f,8,p,H,5.77359
2000,13,8000,f,8,a,H,6.51797
2000,13,8000,f,8,p,A,13.08343
2000,13,8000,f,8,a,A,13.08634
2000,27,8000,f,8,nan,L,3.50968
2000,27,8000,f,8,p,H,3.63032
2000,27,8000,f,8,a,H,3.41777
2000,27,8000,f,8,p,A,0.56344
2000,27,8000,f,8,a,A,0.18300
